ltp,pdb,probe_min,probe_max,buriedness_core,buriedness_rim,Volume
ATCAY,Q86WG3,1,20,0.8,0.75,1906
BNIPL,Q7Z465,1,20,0.8,0.75,1758
BPI,1ewf,2,25,0.9,0.85,2623
BPIFB2,Q8N4F0,2,25,0.9,0.85,2016
STARD11,6j81,2.5,10,0.87,0.8,2707
CRABP2,6hkr,1,30,0.9,0.8,1435
FABP1,7g00,1,20,0.8,0.7,1715
FABP5,7g0b,1,20,0.8,0.7,1506
FABP7,6l90,1,20,0.8,0.7,1547
GLTP,2evl,1,20,0.82,0.65,1802
GLTPD1,4k84,1,20,0.82,0.65,2005
GM2A,1g13,2,30,0.75,0.7,5525
HSDL2,3kvo,2,30,0.75,0.7,2674
LCN1,3eyc,2,30,0.75,0.7,2047
LCN15,2xst,1,30,0.65,0.6,807
OSBPL5,Q9H0X9,2,30,0.92,0.85,3940
OSBPL9,Q96SU4,2,30,0.92,0.85,3770
PITPNA,1uw5,1,20,0.82,0.73,4320
PITPNB,P48739,1,20,0.85,0.75,4099
PITPNC,Q9UKF7,1,20,0.85,0.75,3519
PMP2,7o60,1,30,0.8,0.7,1575
RBP1,8gey,1,30,0.75,0.65,1298
RBP4,5nub,1,30,0.85,0.7,1071
RBP5,6e5w,1,30,0.75,0.7,1548
RLBP1,4ciz,1,20,0.75,0.7,2195
SCP2,1qnd,1,20,0.9,0.8,1191
SCP2D1,Q9UJK7,1,20,0.8,0.7,910
SEC14L2,4omk,2,5,0.92,0.85,2699
SEC14L4,4ltg,2,5,0.92,0.85,2402
SEC14L5,O43304,2.5,10,0.83,0.75,1780
SEC14L6,B5MCN3,2,3,0.85,0.7,2369
STARD2,7u9d,2,20,0.85,0.75,3492
STARD10,6ser,3,20,0.85,0.75,2693
TTPA,5mug,2,30,0.85,0.75,2261
TTPAL,Q9BTX7,2,30,0.85,0.75,1907
